"CODIBGE","REGIAO","UF","CIDADE","PAIS","LOCCIDADE","POPESTIMADA","POPCLASSE"
1502756,"Norte","PA","Concórdia do Pará","Brasil","Concórdia do Pará, PA",32395,"20001 até 50000"
1502764,"Norte","PA","Cumaru do Norte","Brasil","Cumaru do Norte, PA",13093,"10001 até 20000"
1502772,"Norte","PA","Curionópolis","Brasil","Curionópolis, PA",17453,"10001 até 20000"
1502806,"Norte","PA","Curralinho","Brasil","Curralinho, PA",33490,"20001 até 50000"
1502855,"Norte","PA","Curuá","Brasil","Curuá, PA",13996,"10001 até 20000"
1502905,"Norte","PA","Curuçá","Brasil","Curuçá, PA",38959,"20001 até 50000"
1502939,"Norte","PA","Dom Eliseu","Brasil","Dom Eliseu, PA",58071,"50001 até 100000"
1502954,"Norte","PA","Eldorado do Carajás","Brasil","Eldorado do Carajas, PA",32892,"20001 até 50000"
1503002,"Norte","PA","Faro","Brasil","Faro, PA",7009,"5001 até 10000"
1503044,"Norte","PA","Floresta do Araguaia","Brasil","Floresta do Araguaia, PA",19746,"10001 até 20000"
1503077,"Norte","PA","Garrafão do Norte","Brasil","Garrafão do Norte, PA",25363,"20001 até 50000"
1503093,"Norte","PA","Goianésia do Pará","Brasil","Goianésia do Pará, PA",39352,"20001 até 50000"
1503101,"Norte","PA","Gurupá","Brasil","Gurupá, PA",32458,"20001 até 50000"
1503200,"Norte","PA","Igarapé-Açu","Brasil","Igarapé-Açu, PA",37753,"20001 até 50000"
1503309,"Norte","PA","Igarapé-Miri","Brasil","Igarapé-Miri, PA",60994,"50001 até 100000"
1503408,"Norte","PA","Inhangapi","Brasil","Inhangapi, PA",11388,"10001 até 20000"
1503457,"Norte","PA","Ipixuna do Pará","Brasil","Ipixuna do Pará, PA",62237,"50001 até 100000"
1503507,"Norte","PA","Irituia","Brasil","Irituia, PA",31673,"20001 até 50000"
1503606,"Norte","PA","Itaituba","Brasil","Itaituba, PA",98523,"50001 até 100000"
1503705,"Norte","PA","Itupiranga","Brasil","Itupiranga, PA",51835,"50001 até 100000"
1503754,"Norte","PA","Jacareacanga","Brasil","Jacareacanga, PA",8059,"5001 até 10000"
1503804,"Norte","PA","Jacundá","Brasil","Jacundá, PA",57526,"50001 até 100000"
1503903,"Norte","PA","Juruti","Brasil","Juruti, PA",56325,"50001 até 100000"
1504000,"Norte","PA","Limoeiro do Ajuru","Brasil","Limoeiro do Ajuru, PA",28138,"20001 até 50000"
1504059,"Norte","PA","Mãe do Rio","Brasil","Mãe do Rio, PA",29260,"20001 até 50000"
1504109,"Norte","PA","Magalhães Barata","Brasil","Magalhães Barata, PA",8316,"5001 até 10000"
1504208,"Norte","PA","Marabá","Brasil","Marabá, PA",271594,"100001 até 500000"
1504307,"Norte","PA","Maracanã","Brasil","Maracanã, PA",28679,"20001 até 50000"
1504406,"Norte","PA","Marapanim","Brasil","Marapanim, PA",27569,"20001 até 50000"
1504422,"Norte","PA","Marituba","Brasil","Marituba, PA",127858,"100001 até 500000"
1504455,"Norte","PA","Medicilândia","Brasil","Medicilândia, PA",30726,"20001 até 50000"
1504505,"Norte","PA","Melgaço","Brasil","Melgaço, PA",26897,"20001 até 50000"
1504604,"Norte","PA","Mocajuba","Brasil","Mocajuba, PA",30277,"20001 até 50000"
1504703,"Norte","PA","Moju","Brasil","Moju, PA",79825,"50001 até 100000"
1504752,"Norte","PA","Mojuí dos Campos","Brasil","Mojuí dos Campos, PA",15646,"10001 até 20000"
1504802,"Norte","PA","Monte Alegre","Brasil","Monte Alegre, PA",56466,"50001 até 100000"
1504901,"Norte","PA","Muaná","Brasil","Muaná, PA",39231,"20001 até 50000"
1504950,"Norte","PA","Nova Esperança do Piriá","Brasil","Nova Esperança do Piriá, PA",20789,"20001 até 50000"
1504976,"Norte","PA","Nova Ipixuna","Brasil","Nova Ipixuna, PA",16221,"10001 até 20000"
1505007,"Norte","PA","Nova Timboteua","Brasil","Nova Timboteua, PA",14942,"10001 até 20000"
1505031,"Norte","PA","Novo Progresso","Brasil","Novo Progresso, PA",25071,"20001 até 50000"
1505064,"Norte","PA","Novo Repartimento","Brasil","Novo Repartimento, PA",73802,"50001 até 100000"
1505106,"Norte","PA","Óbidos","Brasil","Óbidos, PA",50727,"50001 até 100000"
1505205,"Norte","PA","Oeiras do Pará","Brasil","Oeiras do Pará, PA",31619,"20001 até 50000"
1505304,"Norte","PA","Oriximiná","Brasil","Oriximiná, PA",71078,"50001 até 100000"
1505403,"Norte","PA","Ourém","Brasil","Ourém, PA",17356,"10001 até 20000"
1505437,"Norte","PA","Ourilândia do Norte","Brasil","Ourilândia do Norte, PA",31921,"20001 até 50000"
1505486,"Norte","PA","Pacajá","Brasil","Pacajá, PA",46383,"20001 até 50000"
1505494,"Norte","PA","Palestina do Pará","Brasil","Palestina do Pará, PA",7386,"5001 até 10000"
1505502,"Norte","PA","Paragominas","Brasil","Paragominas, PA",110026,"100001 até 500000"
1505536,"Norte","PA","Parauapebas","Brasil","Parauapebas, PA",202356,"100001 até 500000"
1505551,"Norte","PA","Pau D'Arco","Brasil","Pau D'Arco, PA",5341,"5001 até 10000"
1505601,"Norte","PA","Peixe-Boi","Brasil","Peixe-Boi, PA",7860,"5001 até 10000"
1505635,"Norte","PA","Piçarra","Brasil","Piçarra, PA",12632,"10001 até 20000"
1505650,"Norte","PA","Placas","Brasil","Placas, PA",30109,"20001 até 50000"
1505700,"Norte","PA","Ponta de Pedras","Brasil","Ponta de Pedras, PA",30219,"20001 até 50000"
1505809,"Norte","PA","Portel","Brasil","Portel, PA",60322,"50001 até 100000"
1505908,"Norte","PA","Porto de Moz","Brasil","Porto de Moz, PA",39991,"20001 até 50000"
1506005,"Norte","PA","Prainha","Brasil","Prainha, PA",29067,"20001 até 50000"
1506104,"Norte","PA","Primavera","Brasil","Primavera, PA",10534,"10001 até 20000"
1506112,"Norte","PA","Quatipuru","Brasil","Quatipuru, PA",13237,"10001 até 20000"
1506138,"Norte","PA","Redenção","Brasil","Redenção, PA",82464,"50001 até 100000"
1506161,"Norte","PA","Rio Maria","Brasil","Rio Maria, PA",17705,"10001 até 20000"
1506187,"Norte","PA","Rondon do Pará","Brasil","Rondon do Pará, PA",50925,"50001 até 100000"
1506195,"Norte","PA","Rurópolis","Brasil","Rurópolis, PA",49093,"20001 até 50000"
1506203,"Norte","PA","Salinópolis","Brasil","Salinópolis, PA",39569,"20001 até 50000"
1506302,"Norte","PA","Salvaterra","Brasil","Salvaterra, PA",23096,"20001 até 50000"
1506351,"Norte","PA","Santa Bárbara do Pará","Brasil","Santa Bárbara do Pará, PA",20492,"20001 até 50000"
1506401,"Norte","PA","Santa Cruz do Arari","Brasil","Santa Cruz do Arari, PA",9845,"5001 até 10000"
1506500,"Norte","PA","Santa Izabel do Pará","Brasil","Santa Isabel do Pará, PA",68836,"50001 até 100000"
1506559,"Norte","PA","Santa Luzia do Pará","Brasil","Santa Luzia do Pará, PA",19316,"10001 até 20000"
1506583,"Norte","PA","Santa Maria das Barreiras","Brasil","Santa Maria das Barreiras, PA",20849,"20001 até 50000"
